1,admin,admin,admin,admin@admin.admin,1000:ca7af213761dca3c2f5dcf00ca5e7e31d408d5ccaf1d1a44e6e1912a552837eb1477d04bb2a689eebadba29b0c95ceca:a14f592a897728f16e9082cd7d26f286887a42dc0ea4889ba37b36477497b12c485b969961671718d8cd1709be769cee,09/333.22.11,75,,28,28
4,Klorofil,Owner,Owner,Klorofil@degage.be,1000:d7717e02541107f1cd8f8b236c6d968a1a3ff831b42d8916be6016dfa884be4f3b9de9f06fc0baa7dbf605db093a3a4d:3fc0ba7c02848f7fa059da111661b16a1472a737edfada610f6182a00864389023b66f051e44e86cbb61044d13684339,09/333.22.11,75,,8,8
4,Blanc,Owner,Owner,Blanc@degage.be,1000:d7717e02541107f1cd8f8b236c6d968a1a3ff831b42d8916be6016dfa884be4f3b9de9f06fc0baa7dbf605db093a3a4d:3fc0ba7c02848f7fa059da111661b16a1472a737edfada610f6182a00864389023b66f051e44e86cbb61044d13684339,09/333.22.11,75,,9,9
4,Louis,Owner,Owner,Louis@degage.be,1000:d7717e02541107f1cd8f8b236c6d968a1a3ff831b42d8916be6016dfa884be4f3b9de9f06fc0baa7dbf605db093a3a4d:3fc0ba7c02848f7fa059da111661b16a1472a737edfada610f6182a00864389023b66f051e44e86cbb61044d13684339,09/333.22.11,75,,10,10
4,Johnnie,Owner,Owner,Johnnie@degage.be,1000:d7717e02541107f1cd8f8b236c6d968a1a3ff831b42d8916be6016dfa884be4f3b9de9f06fc0baa7dbf605db093a3a4d:3fc0ba7c02848f7fa059da111661b16a1472a737edfada610f6182a00864389023b66f051e44e86cbb61044d13684339,09/333.22.11,75,,11,11
4,Marta,Owner,Owner,Marta@degage.be,1000:d7717e02541107f1cd8f8b236c6d968a1a3ff831b42d8916be6016dfa884be4f3b9de9f06fc0baa7dbf605db093a3a4d:3fc0ba7c02848f7fa059da111661b16a1472a737edfada610f6182a00864389023b66f051e44e86cbb61044d13684339,09/333.22.11,75,,12,12
4,Rolandine,Owner,Owner,Rolandine@degage.be,1000:d7717e02541107f1cd8f8b236c6d968a1a3ff831b42d8916be6016dfa884be4f3b9de9f06fc0baa7dbf605db093a3a4d:3fc0ba7c02848f7fa059da111661b16a1472a737edfada610f6182a00864389023b66f051e44e86cbb61044d13684339,09/333.22.11,75,,13,13
4,Dannie,Owner,Owner,Dannie@degage.be,1000:d7717e02541107f1cd8f8b236c6d968a1a3ff831b42d8916be6016dfa884be4f3b9de9f06fc0baa7dbf605db093a3a4d:3fc0ba7c02848f7fa059da111661b16a1472a737edfada610f6182a00864389023b66f051e44e86cbb61044d13684339,09/333.22.11,75,,14,14
4,Lunatic,Owner,Owner,Lunatic@degage.be,1000:d7717e02541107f1cd8f8b236c6d968a1a3ff831b42d8916be6016dfa884be4f3b9de9f06fc0baa7dbf605db093a3a4d:3fc0ba7c02848f7fa059da111661b16a1472a737edfada610f6182a00864389023b66f051e44e86cbb61044d13684339,09/333.22.11,75,,15,15
4,Bagnolleke,Owner,Owner,Bagnolleke@degage.be,1000:d7717e02541107f1cd8f8b236c6d968a1a3ff831b42d8916be6016dfa884be4f3b9de9f06fc0baa7dbf605db093a3a4d:3fc0ba7c02848f7fa059da111661b16a1472a737edfada610f6182a00864389023b66f051e44e86cbb61044d13684339,09/333.22.11,75,,16,16
4,Renooto,Owner,Owner,Renooto@degage.be,1000:d7717e02541107f1cd8f8b236c6d968a1a3ff831b42d8916be6016dfa884be4f3b9de9f06fc0baa7dbf605db093a3a4d:3fc0ba7c02848f7fa059da111661b16a1472a737edfada610f6182a00864389023b66f051e44e86cbb61044d13684339,09/333.22.11,75,,17,17
4,Bonavontura,Owner,Owner,Bonavontura@degage.be,1000:d7717e02541107f1cd8f8b236c6d968a1a3ff831b42d8916be6016dfa884be4f3b9de9f06fc0baa7dbf605db093a3a4d:3fc0ba7c02848f7fa059da111661b16a1472a737edfada610f6182a00864389023b66f051e44e86cbb61044d13684339,09/333.22.11,75,,18,18
4,Kerry,Owner,Owner,Kerry@degage.be,1000:d7717e02541107f1cd8f8b236c6d968a1a3ff831b42d8916be6016dfa884be4f3b9de9f06fc0baa7dbf605db093a3a4d:3fc0ba7c02848f7fa059da111661b16a1472a737edfada610f6182a00864389023b66f051e44e86cbb61044d13684339,09/333.22.11,75,,19,19
4,Kweetnie,Owner,Owner,Kweetnie@degage.be,1000:d7717e02541107f1cd8f8b236c6d968a1a3ff831b42d8916be6016dfa884be4f3b9de9f06fc0baa7dbf605db093a3a4d:3fc0ba7c02848f7fa059da111661b16a1472a737edfada610f6182a00864389023b66f051e44e86cbb61044d13684339,09/333.22.11,75,,20,20
4,Smart,Owner,Owner,Smart@degage.be,1000:d7717e02541107f1cd8f8b236c6d968a1a3ff831b42d8916be6016dfa884be4f3b9de9f06fc0baa7dbf605db093a3a4d:3fc0ba7c02848f7fa059da111661b16a1472a737edfada610f6182a00864389023b66f051e44e86cbb61044d13684339,09/333.22.11,75,,21,21
4,Latoyota,Owner,Owner,Latoyota@degage.be,1000:d7717e02541107f1cd8f8b236c6d968a1a3ff831b42d8916be6016dfa884be4f3b9de9f06fc0baa7dbf605db093a3a4d:3fc0ba7c02848f7fa059da111661b16a1472a737edfada610f6182a00864389023b66f051e44e86cbb61044d13684339,09/333.22.11,75,,22,22
4,Annabella,Owner,Owner,Annabella@degage.be,1000:d7717e02541107f1cd8f8b236c6d968a1a3ff831b42d8916be6016dfa884be4f3b9de9f06fc0baa7dbf605db093a3a4d:3fc0ba7c02848f7fa059da111661b16a1472a737edfada610f6182a00864389023b66f051e44e86cbb61044d13684339,09/333.22.11,75,,23,23
4,Bluelagoona,Owner,Owner,Bluelagoona@degage.be,1000:d7717e02541107f1cd8f8b236c6d968a1a3ff831b42d8916be6016dfa884be4f3b9de9f06fc0baa7dbf605db093a3a4d:3fc0ba7c02848f7fa059da111661b16a1472a737edfada610f6182a00864389023b66f051e44e86cbb61044d13684339,09/333.22.11,75,,24,24
4,Octave,Owner,Owner,Octave@degage.be,1000:d7717e02541107f1cd8f8b236c6d968a1a3ff831b42d8916be6016dfa884be4f3b9de9f06fc0baa7dbf605db093a3a4d:3fc0ba7c02848f7fa059da111661b16a1472a737edfada610f6182a00864389023b66f051e44e86cbb61044d13684339,09/333.22.11,75,,25,25
4,ZwarteKat,Owner,Owner,ZwarteKat@degage.be,1000:d7717e02541107f1cd8f8b236c6d968a1a3ff831b42d8916be6016dfa884be4f3b9de9f06fc0baa7dbf605db093a3a4d:3fc0ba7c02848f7fa059da111661b16a1472a737edfada610f6182a00864389023b66f051e44e86cbb61044d13684339,09/333.22.11,75,,26,26
4,Paula,Owner,Owner,Paula@degage.be,1000:d7717e02541107f1cd8f8b236c6d968a1a3ff831b42d8916be6016dfa884be4f3b9de9f06fc0baa7dbf605db093a3a4d:3fc0ba7c02848f7fa059da111661b16a1472a737edfada610f6182a00864389023b66f051e44e86cbb61044d13684339,09/333.22.11,75,,27,27
4,Colombino,Owner,Owner,Colombino@degage.be,1000:d7717e02541107f1cd8f8b236c6d968a1a3ff831b42d8916be6016dfa884be4f3b9de9f06fc0baa7dbf605db093a3a4d:3fc0ba7c02848f7fa059da111661b16a1472a737edfada610f6182a00864389023b66f051e44e86cbb61044d13684339,09/333.22.11,75,,28,28
